Row Labels	2013 / 10	2014 / 01	2014 / 02	2014 / 03	2014 / 04	2014 / 05	2014 / 06	2014 / 07	2014 / 08	2014 / 09	2014 / 10	2014 / 11	2014 / 12	2015 / 01	2015 / 02	2015 / 03	2015 / 04	2015 / 05	2015 / 06	2015 / 07	2015 / 08	2015 / 09	2015 / 10	2015 / 11	2015 / 12	2016 / 01	2016 / 02	2016 / 03	2016 / 04	2016 / 05	2016 / 06	2016 / 07	2016 / 08	2016 / 09	2016 / 10	2016 / 11	2016 / 12
Queens14	220.39	223.54	186.43	215.3	225.43	253.97	236.93	238.5	226.11	220.86	234.7	210.88	280.72	197.8	213.82	236.63	218.6	214.64	246.76	247.84	224.03	233.25	244.53	209.05	319.08	213.36	224.63	236.83	239.31	232.97	249.82	253.45	225.35	253.84	235.13	233.73	327.98
Staten Island1	605.01	675.1	504.56	590.95	610.6	641.01	650.15	633.88	578.67	597.05	649.41	601.68	807.12	592.77	549.47	626.48	603.47	590.38	704.64	631.13	588.58	625.84	624.66	591.07	813.42	509.26	657.32	623.88	584.62	597.03	666.46	632.41	618.35	622.65	618.49	619.94	850.14
Staten Island2	578.45	635.92	471.09	541.53	591.52	610.83	621.27	611.8	526.31	540.41	608.47	545.66	738.07	542.34	516.82	575.87	575.42	531.61	640.88	582	533.7	575.04	597.93	537.16	792.47	446.14	608.89	577.38	539.32	551.16	613.05	557	548.45	562.41	547.05	566.6	758.3
Staten Island3	821.65	959.83	689.83	740.01	841.86	871.2	848.98	835.91	743.99	746.78	867.75	767.55	1070.29	761.77	710.42	775.39	791.72	761.05	865.63	810.41	712.47	796.13	811.24	744.9	1118.37	643.39	813.5	790.89	740.79	751.1	834.87	769.6	742.87	768.73	748.51	778.13	1106.11
																																					
																																					
Row Labels	2013 / 10	2014 / 01	2014 / 02	2014 / 03	2014 / 04	2014 / 05	2014 / 06	2014 / 07	2014 / 08	2014 / 09	2014 / 10	2014 / 11	2014 / 12	2015 / 01	2015 / 02	2015 / 03	2015 / 04	2015 / 05	2015 / 06	2015 / 07	2015 / 08	2015 / 09	2015 / 10	2015 / 11	2015 / 12	2016 / 01	2016 / 02	2016 / 03	2016 / 04	2016 / 05	2016 / 06	2016 / 07	2016 / 08	2016 / 09	2016 / 10	2016 / 11	2016 / 12
Bronx1	96.22	94.42	79.83	95.37	105.3	91.94	108.56	106.57	98.87	109.37	94.78	89.6	118.82	91.99	105.01	114.9	101.25	98.33	130.75	108.52	116.3	120.38	113.04	112.19	135.61	92.46	149.18	126.88	125.68	129.71	129.15	128.93	146.49	132.72	124.63	132.51	127.78
Bronx2	92.12	109.4	79.33	90.25	93.47	119.53	98.71	109.89	105.47	94.5	118.68	75.67	100.77	138.17	92.87	98.27	121.44	115.51	103.9	134.33	105.51	119.18	139.37	99.27	160.01	128.97	123.96	139.43	135.24	127.92	150.16	144.18	126.41	159.91	127.98	107.85	190.74
Bronx3	103.44	117.28	85.14	95.26	121.22	94.2	100.13	126.36	105.86	111.79	110.76	97.48	142.04	83.25	123.39	128.41	132.96	115.09	132.66	138.88	125.33	159.17	123.49	126.17	192.68	116.45	170.04	195.45	156.2	183.4	186.62	153.06	178.01	143.45	137.14	172.76	142.02
