Borough,Row Labels,Row Labels,10/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016
Staten Island,S1,g12,-60408.35,-54145.65,-47021.275,-56743.5,-62326.755,-67045.355,-63724.775,-67265.09,-61174.135,-61687.375,-61516.45,-57197.325,-64466.08,-52148.72,-45543.5,-57892.705,-60502.705,-63215.67,-67929.275,-65514.165,-61195.48,-62570.04,-60677.15,-60285.71,-63007.28,-52193.82,-52305.33,-59706.885,-58690.7,-62300.165,-67592.54,-63125.28,-64901.57,-61032.845,-60214.27,-61080.555,-60274.905
Staten Island,S3,g13,-54726.89,-49193.87,-43124.555,-51776.21,-56163.905,-60126.125,-57380.465,-61046.1,-55648.195,-56123.335,-55800.69,-51518.095,-58257.8,-47557.01,-41767.37,-52970.705,-54560.015,-56684,-61409.245,-59508.755,-55813.86,-56910.49,-55082.74,-54275.59,-57065.83,-47548.72,-47869.22,-54329.405,-53097.62,-56123.745,-61021.63,-57304.72,-59038.58,-55613.995,-54768.45,-55199.225,-54678.585
Bronx,BX8,g14,-52310.53,-46843.88,-41032.185,-49481.63,-53738.815,-57614.335,-54997.405,-58505.93,-53339.825,-53736.425,-53392.76,-49178.515,-55655.52,-45297.01,-39869.21,-50728.255,-52268.175,-54330.92,-58910.095,-57138.175,-53578.26,-54599.43,-52737.57,-51968.24,-54595.12,-45302.99,-45770.39,-52025.865,-50844.69,-53786.605,-58543.79,-54955.05,-56615.83,-53261.105,-52412.91,-52791.115,-52257.375
Bronx,BX5,g15,-48900.14,-43517.67,-37952.845,-46007.27,-50254.475,-53990.065,-51571.835,-54792.55,-49907.955,-50217.665,-49976.22,-45940.005,-51990.2,-42125.2,-37004.75,-47301.935,-48970.425,-50993.48,-55260.115,-53615.115,-50183.43,-51139.24,-49340.72,-48602.55,-50984.74,-42110.14,-42502.67,-48505.965,-47505.18,-50466.515,-54871.08,-51470.11,-52989.73,-49837.665,-49005.39,-49284.165,-48673.865
Bronx,"BX, 1,2",g16,-45403.85,-40104.87,-34843.985,-42495.9,-46815.835,-50411.765,-48105.495,-51114.27,-46506.455,-46786.345,-46578.33,-42744.095,-48336.85,-38923.56,-34184.13,-43817.875,-45715.445,-47673.89,-51703.885,-50103.105,-46860.3,-47749.31,-46073.52,-45316.93,-47455.18,-39045.86,-39399.44,-45157.035,-44311.51,-47170.765,-51243.16,-48050.33,-49406.17,-46476.995,-45676.52,-45757.875,-45182.355
Bronx,BX7,g17,-41788.27,-36619.57,-31585.475,-38823.54,-43150.065,-46640.755,-44475.765,-47238.05,-42954.235,-43157.055,-43005.17,-39332.715,-44466.9,-35606.39,-31270.91,-40235.595,-42250.935,-44173.04,-47875.435,-46376.455,-43278.94,-44154.76,-42499.91,-41751.09,-43645.71,-35637.61,-36045.57,-41490.775,-40776.91,-43654.115,-47277.58,-44386.45,-45515.63,-42850.395,-41995.41,-41969.785,-41383.655
Bronx,BX4,g18,-37569.48,-32574.59,-27834.725,-34587.61,-38929.695,-42265.645,-40296.815,-42752.09,-38835.905,-39007.505,-38877.2,-35399.695,-40001.76,-31762.55,-27864.97,-36159.165,-38362.865,-40231.49,-43582.885,-42168.445,-39273.89,-40139.15,-38509.34,-37754.97,-39378.31,-31955.33,-32150.86,-37373.025,-36896.06,-39617.275,-43053.89,-40266.73,-41227.37,-38840.125,-37960.15,-37738.315,-37173.815
Bronx,"BX 3,6",g19,-33556.03,-28729.27,-24294.315,-30580.29,-34846.025,-38130.875,-36344.615,-38475.8,-34943.085,-35067.395,-34924.79,-31727.625,-35724.04,-28111.28,-24645.2,-32179.025,-34577.065,-36395.91,-39410.505,-38105.025,-35345.71,-36196.47,-34682.8,-33870.79,-35222.14,-28248.19,-28396.06,-33303.805,-33148.86,-35802.935,-38776.3,-36289.66,-36975.11,-34888.875,-33961.22,-33541.475,-33026.895
Bronx,BX10,g20,-31140.93,-26511.76,-22366.605,-28307.06,-32226.445,-35299.215,-33726.735,-35709.75,-32497.275,-32573.725,-32467.24,-29348.745,-33121.85,-25982.02,-22881.07,-29933.825,-32067.125,-33754.29,-36691.675,-35462.155,-32898.19,-33695.18,-32180.28,-31386.58,-32613.8,-26059.76,-26276.18,-30840.105,-30685.2,-33133.275,-35986.02,-33717.51,-34363.51,-32405.195,-31457.17,-30885.515,-30489.365
Bronx,BX11,g21,-28221.68,-23820.13,-20010.305,-25522.48,-29203.125,-32000.055,-30606.345,-32399.19,-29514.615,-29541.815,-29404.23,-26458.685,-29939.82,-23250.42,-20646.57,-27127.395,-29038.585,-30626.81,-33406.775,-32190.285,-29862.73,-30643.29,-29095.13,-28289.91,-29392.08,-23410.27,-23654.01,-27850.835,-27755.26,-29999.285,-32579.07,-30573.39,-31173.32,-29255.545,-28400.17,-27812.375,-27429.215
