	Borough	District	bororder	13-Oct	14-Jan	14-Feb	14-Mar	14-Apr	14-May	14-Jun	14-Jul	14-Aug	14-Sep	14-Oct	14-Nov	14-Dec	15-Jan	15-Feb	15-Mar	15-Apr	15-May	15-Jun	15-Jul	15-Aug	15-Sep	15-Oct	15-Nov	15-Dec	16-Jan	16-Feb	16-Mar	16-Apr	16-May	16-Jun	16-Jul	16-Aug	16-Sep	16-Oct	16-Nov	16-Dec		Oct-13	14-Jan	14-Feb	14-Mar	14-Apr	14-May	14-Jun	14-Jul	14-Aug	14-Sep	14-Oct	14-Nov	14-Dec	15-Jan	15-Feb	15-Mar	15-Apr	15-May	15-Jun	15-Jul	15-Aug	15-Sep	15-Oct	15-Nov	15-Dec	16-Jan	16-Feb	16-Mar	16-Apr	16-May	16-Jun	16-Jul	16-Aug	16-Sep	16-Oct	16-Nov	16-Dec		variance			
34	Manhattan	M8	1	"37,498"	"35,820"	"31,761"	"34,558"	"36,226"	"38,159"	"35,743"	"36,259"	"33,948"	"36,296"	"36,983"	"34,694"	"37,643"	"34,217"	"30,233"	"35,336"	"34,354"	"35,701"	"38,033"	"34,757"	"33,478"	"35,682"	"36,476"	"34,713"	"36,946"	"32,871"	"32,689"	"35,288"	"34,382"	"34,980"	"37,296"	"33,289"	"35,220"	"35,165"	"35,568"	"35,980"	"36,137"		"5,833"	"5,494"	"4,875"	"5,125"	"5,584"	"5,799"	"5,342"	"5,204"	"4,796"	"5,478"	"5,676"	"5,398"	"5,624"	"5,216"	"4,734"	"5,238"	"5,295"	"5,443"	"5,678"	"4,865"	"4,665"	"5,390"	"5,647"	"5,270"	"5,577"	"5,094"	"4,858"	"5,274"	"5,177"	"5,267"	"5,485"	"4,668"	"4,810"	"5,124"	"5,425"	"5,487"	"5,479"		101001.4259			
54	Staten Island	S2	2	"41,817"	"39,382"	"34,680"	"38,294"	"40,673"	"43,207"	"40,561"	"41,009"	"38,093"	"40,558"	"41,246"	"38,776"	"42,085"	"37,564"	"33,050"	"39,046"	"38,699"	"40,405"	"42,854"	"39,272"	"37,599"	"39,929"	"40,614"	"39,072"	"41,189"	"36,235"	"36,036"	"39,197"	"38,473"	"39,502"	"42,112"	"37,539"	"39,629"	"39,252"	"39,638"	"40,321"	"40,246"		"4,319"	"3,562"	"2,919"	"3,736"	"4,447"	"5,048"	"4,818"	"4,750"	"4,145"	"4,262"	"4,263"	"4,082"	"4,442"	"3,347"	"2,817"	"3,710"	"4,345"	"4,704"	"4,821"	"4,515"	"4,121"	"4,247"	"4,138"	"4,359"	"4,243"	"3,364"	"3,347"	"3,909"	"4,091"	"4,522"	"4,816"	"4,250"	"4,409"	"4,087"	"4,070"	"4,341"	"4,109"		257165.4317			
53	Staten Island	S1	2	"46,885"	"43,694"	"38,226"	"42,985"	"46,087"	"49,245"	"46,326"	"46,808"	"43,187"	"45,746"	"46,386"	"43,599"	"47,566"	"41,690"	"36,507"	"43,752"	"44,032"	"45,889"	"48,682"	"44,676"	"42,596"	"45,016"	"45,531"	"44,253"	"46,378"	"40,275"	"40,217"	"44,035"	"43,351"	"44,881"	"47,877"	"42,820"	"45,084"	"44,247"	"44,580"	"45,463"	"45,260"		"5,068"	"4,312"	"3,546"	"4,691"	"5,414"	"6,038"	"5,765"	"5,799"	"5,094"	"5,188"	"5,140"	"4,823"	"5,481"	"4,126"	"3,457"	"4,706"	"5,333"	"5,484"	"5,828"	"5,404"	"4,997"	"5,087"	"4,917"	"5,181"	"5,189"	"4,040"	"4,181"	"4,838"	"4,878"	"5,379"	"5,765"	"5,281"	"5,455"	"4,995"	"4,942"	"5,142"	"5,014"		341643.1103			
55	Staten Island	S3	2	"52,566"	"48,646"	"42,123"	"47,952"	"52,250"	"56,164"	"52,670"	"53,027"	"48,713"	"51,310"	"52,102"	"49,278"	"53,774"	"46,282"	"40,283"	"48,674"	"49,975"	"52,421"	"55,202"	"50,681"	"47,978"	"50,676"	"51,125"	"50,263"	"52,319"	"44,920"	"44,653"	"49,412"	"48,944"	"51,057"	"54,448"	"48,641"	"50,947"	"49,666"	"50,026"	"51,344"	"50,856"		"5,681"	"4,952"	"3,897"	"4,967"	"6,163"	"6,919"	"6,344"	"6,219"	"5,526"	"5,564"	"5,716"	"5,679"	"6,208"	"4,592"	"3,776"	"4,922"	"5,943"	"6,532"	"6,520"	"6,005"	"5,382"	"5,660"	"5,594"	"6,010"	"5,941"	"4,645"	"4,436"	"5,377"	"5,593"	"6,176"	"6,571"	"5,821"	"5,863"	"5,419"	"5,446"	"5,881"	"5,596"		489016.615			
6	Bronx	BX7	3	"54,982"	"50,996"	"44,215"	"50,247"	"54,675"	"58,676"	"55,053"	"55,567"	"51,021"	"53,697"	"54,510"	"51,618"	"56,376"	"48,542"	"42,181"	"50,916"	"52,267"	"54,774"	"57,701"	"53,052"	"50,214"	"52,987"	"53,470"	"52,570"	"54,790"	"47,166"	"46,752"	"51,716"	"51,197"	"53,394"	"56,926"	"50,991"	"53,370"	"52,019"	"52,382"	"53,752"	"53,277"		"2,416"	"2,350"	"2,092"	"2,295"	"2,425"	"2,512"	"2,383"	"2,540"	"2,308"	"2,387"	"2,408"	"2,340"	"2,602"	"2,260"	"1,898"	"2,242"	"2,292"	"2,353"	"2,499"	"2,371"	"2,236"	"2,311"	"2,345"	"2,307"	"2,471"	"2,246"	"2,099"	"2,304"	"2,253"	"2,337"	"2,478"	"2,350"	"2,423"	"2,353"	"2,356"	"2,408"	"2,421"		16426.73484			
4	Bronx	BX5	3	"58,392"	"54,322"	"47,294"	"53,721"	"58,159"	"62,300"	"58,479"	"59,280"	"54,453"	"57,216"	"57,927"	"54,857"	"60,041"	"51,714"	"45,045"	"54,342"	"55,565"	"58,111"	"61,351"	"56,575"	"53,609"	"56,447"	"56,867"	"55,936"	"58,400"	"50,359"	"50,020"	"55,236"	"54,537"	"56,714"	"60,599"	"54,476"	"56,996"	"55,442"	"55,790"	"57,259"	"56,861"		"3,410"	"3,326"	"3,079"	"3,474"	"3,484"	"3,624"	"3,426"	"3,713"	"3,432"	"3,519"	"3,417"	"3,239"	"3,665"	"3,172"	"2,864"	"3,426"	"3,298"	"3,337"	"3,650"	"3,523"	"3,395"	"3,460"	"3,397"	"3,366"	"3,610"	"3,193"	"3,268"	"3,520"	"3,340"	"3,320"	"3,673"	"3,485"	"3,626"	"3,423"	"3,408"	"3,507"	"3,584"		29896.59167			
1	Bronx	"BX1,2"	3	"61,888"	"57,735"	"50,403"	"57,232"	"61,598"	"65,878"	"61,946"	"62,959"	"57,854"	"60,647"	"61,324"	"58,053"	"63,695"	"54,916"	"47,866"	"57,826"	"58,820"	"61,431"	"64,907"	"60,087"	"56,932"	"59,837"	"60,134"	"59,222"	"61,930"	"53,423"	"53,123"	"58,585"	"57,731"	"60,010"	"64,227"	"57,896"	"60,580"	"58,803"	"59,119"	"60,785"	"60,352"		"3,496"	"3,413"	"3,109"	"3,511"	"3,439"	"3,578"	"3,467"	"3,679"	"3,401"	"3,431"	"3,397"	"3,196"	"3,654"	"3,202"	"2,821"	"3,484"	"3,255"	"3,320"	"3,556"	"3,512"	"3,323"	"3,390"	"3,267"	"3,286"	"3,530"	"3,064"	"3,103"	"3,349"	"3,194"	"3,296"	"3,628"	"3,420"	"3,584"	"3,361"	"3,329"	"3,526"	"3,491"		32098.42951			
5	Bronx	BX6	3	"65,504"	"61,220"	"53,662"	"60,904"	"65,264"	"69,649"	"65,576"	"66,835"	"61,406"	"64,276"	"64,897"	"61,464"	"67,565"	"58,233"	"50,779"	"61,408"	"62,285"	"64,932"	"68,735"	"63,814"	"60,513"	"63,432"	"63,708"	"62,788"	"65,739"	"56,831"	"56,477"	"62,251"	"61,266"	"63,527"	"68,193"	"61,560"	"64,471"	"62,430"	"62,800"	"64,573"	"64,151"		"3,616"	"3,485"	"3,259"	"3,672"	"3,666"	"3,771"	"3,630"	"3,876"	"3,552"	"3,629"	"3,573"	"3,411"	"3,870"	"3,317"	"2,913"	"3,582"	"3,465"	"3,501"	"3,828"	"3,727"	"3,581"	"3,595"	"3,574"	"3,566"	"3,809"	"3,408"	"3,354"	"3,666"	"3,535"	"3,517"	"3,966"	"3,664"	"3,891"	"3,627"	"3,681"	"3,788"	"3,799"		39719.59679			
3	Bronx	BX4	3	"69,723"	"65,265"	"57,413"	"65,140"	"69,484"	"74,024"	"69,755"	"71,321"	"65,524"	"68,426"	"69,025"	"65,397"	"72,030"	"62,077"	"54,185"	"65,484"	"66,173"	"68,874"	"73,028"	"68,022"	"64,518"	"67,448"	"67,699"	"66,784"	"70,006"	"60,513"	"60,372"	"66,369"	"65,147"	"67,564"	"72,417"	"65,680"	"68,759"	"66,440"	"66,835"	"68,804"	"68,361"		"4,219"	"4,045"	"3,751"	"4,236"	"4,220"	"4,375"	"4,179"	"4,486"	"4,118"	"4,150"	"4,128"	"3,933"	"4,465"	"3,844"	"3,406"	"4,076"	"3,888"	"3,942"	"4,293"	"4,208"	"4,005"	"4,016"	"3,991"	"3,996"	"4,267"	"3,682"	"3,895"	"4,118"	"3,881"	"4,037"	"4,224"	"4,120"	"4,288"	"4,010"	"4,035"	"4,231"	"4,210"		44538.65595			
2	Bronx	"BX3,6"	3	"73,736"	"69,110"	"60,954"	"69,147"	"73,568"	"78,158"	"73,707"	"75,597"	"69,417"	"72,366"	"72,977"	"69,069"	"76,308"	"65,728"	"57,405"	"69,464"	"69,958"	"72,709"	"77,200"	"72,086"	"68,446"	"71,391"	"71,525"	"70,669"	"74,162"	"64,220"	"64,127"	"70,438"	"68,895"	"71,378"	"76,694"	"69,657"	"73,011"	"70,391"	"70,834"	"73,001"	"72,508"		"4,013"	"3,845"	"3,541"	"4,007"	"4,084"	"4,134"	"3,952"	"4,276"	"3,893"	"3,940"	"3,952"	"3,672"	"4,278"	"3,651"	"3,220"	"3,980"	"3,785"	"3,835"	"4,172"	"4,064"	"3,928"	"3,943"	"3,826"	"3,885"	"4,156"	"3,707"	"3,755"	"4,069"	"3,748"	"3,814"	"4,277"	"3,977"	"4,252"	"3,951"	"3,999"	"4,197"	"4,147"		48394.23667			
