 District 	 Total Population 	 2016 Garbage 	 2016 Recycling 	 Rec PP 2016 	 AVG 2016 Garbage 	 AVG 2016 Recycle 	 AVG Monthly Garbage PP from 2016 	 GB PP 2016 	 Mean travel time to work (minutes) 	 Median household income (dollars) 	 Mean household income (dollars) 	 Median age (years) 	 Homeowner vacancy rate 	 Rental vacancy rate 	 Median rooms 	 Median house Value (dollars) 	 Median Rent (dollars) 	 % Families with income below poverty line 	 Percent Unemployed 	 Foreign born 	 Percent high school graduate or higher 	 Percent bachelor's degree or higher 
 Q6 	  113,257 	  33,244 	  9,273 	  164 	  2,770 	  773 	49	587	40.6	62,155	81,919	40.7	2.2	2.1	3.9	342,000	1,391	7.50%	7.00%	49.10%	92.20%	53.40%
 Q7 	  247,354 	  77,370 	  17,725 	  143 	  6,448 	  1,477 	52	626	39.8	52,438	70,275	42	2.3	3.6	4.3	544,300	1,360	11.50%	10.50%	55.70%	79.10%	31.20%
 Q8 	  151,107 	  43,467 	  10,463 	  138 	  3,622 	  872 	48	575	42	58,394	74,537	38.6	2.2	3.6	4.3	492,700	1,266	11.60%	11.50%	45.70%	86.50%	42.20%
 Q9 	  143,317 	  47,747 	  11,211 	  156 	  3,979 	  934 	56	666	45.8	57,117	72,267	34.7	2.3	4.8	4.7	410,800	1,300	14.20%	11.70%	50.80%	77.80%	25.80%
 Q10 	  122,396 	  41,118 	  10,231 	  167 	  3,426 	  853 	56	672	43.9	59,144	75,648	38.5	0.5	1.7	5.3	441,900	1,322	10.90%	11.00%	46.20%	78.30%	19.90%
 Q11 	  116,431 	  35,061 	  10,961 	  188 	  2,922 	  913 	50	602	40.2	74,143	88,411	42.8	0.6	4.2	5.2	564,900	1,544	6.80%	8.70%	43.60%	88.60%	44.70%
 Q12 	  225,919 	  78,449 	  14,934 	  132 	  6,537 	  1,244 	58	694	47.5	50,857	64,332	36	3.5	3.2	5	379,000	1,144	14.60%	14.80%	42.40%	78.50%	19.20%
 Q13 	  188,593 	  62,466 	  14,968 	  159 	  5,206 	  1,247 	55	662	45.3	76,168	88,502	40	1.1	3.5	5.7	408,900	1,421	7.00%	10.20%	42.20%	86.30%	29.50%
 Q14 	  114,978 	  36,243 	  5,733 	  100 	  3,020 	  478 	53	630	45	47,218	65,943	34.9	1.5	5.5	4.5	462,400	971	18.20%	13.30%	25.70%	77.20%	23.70%
 S1 	  175,756 	  59,910 	  15,272 	  174 	  4,993 	  1,273 	57	682	39.4	57,283	73,717	34.5	4.6	11.2	5	384,700	1,117	16.10%	9.60%	23.60%	84.00%	26.10%
 S2 	  132,003 	  49,316 	  12,963 	  196 	  4,110 	  1,080 	62	747	39.5	72,041	88,325	41.7	1.5	7.6	5.6	450,600	1,108	6.00%	7.20%	26.60%	88.70%	32.60%
 S3 	  160,209 	  66,825 	  17,752 	  222 	  5,569 	  1,479 	70	834	43.1	83,973	100,484	40.5	1.2	2.5	6.2	474,900	1,237	5.20%	7.50%	15.30%	91.20%	31.30%
																						
																						
								 GB PP 2016 	 AVG 2016 Garbage 	 Rec PP 2016 	 AVG 2016 Recycle 											
						 Mean travel time to work (minutes) 		  0.38 	  (0.18)	  (0.38)	  (0.18)											
						 Median household income (dollars) 		  (0.06)	  0.63 	  0.87 	  0.63 											
						 Mean household income (dollars) 		  (0.21)	  0.55 	  0.80 	  0.55 											
						 Median age (years) 		  (0.05)	  0.47 	  0.47 	  0.47 											
						 Homeowner vacancy rate 		  (0.23)	  (0.42)	  (0.41)	  (0.42)											
						 Rental vacancy rate 		  0.16 	  (0.04)	  (0.07)	  (0.04)											
						 Median rooms 		  0.60 	  0.30 	  0.21 	  0.30 											
						 Median house Value (dollars) 		  (0.23)	  0.40 	  0.59 	  0.40 											
						 Median Rent (dollars) 		  0.01 	  0.66 	  0.80 	  0.66 											
						 % Families with income below poverty line 		  (0.03)	  (0.65)	  (0.80)	  (0.65)											
						 Percent Unemployed 		  0.05 	  (0.58)	  (0.70)	  (0.58)											
						 Foreign born 		  0.17 	  (0.05)	  (0.27)	  (0.05)											
						 Percent high school graduate or higher 		  (0.05)	  0.53 	  0.72 	  0.53 											
						 Percent bachelor's degree or higher 		  (0.37)	  0.43 	  0.71 	  0.43 											
